,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,declarationOfCalamity,evacuationCenters,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresent,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers,reference,otherDescription,otherDescription,otherDescription,startDate,endDate
430,Tropical Cyclone,Tropical Storm Labuyo,"September 21 - 23, 2005",,,Region II,,,26,718,9,5,5,63335,314941,835,4357,34,17815,43569000,452365361.9,,,,damaged,,,,,"NDCC -PHP 747,000.00
PSWD -PHP 231,207.00
P/MSWDO -PHP 120,390.00
DSWD CAR -PHP 30,900.00
PSWDO and MSWDO -PHP 120,390.00
DOH RO1 -PHP 109,216.20
HEMS=OPCEN -PHP465,590.50
LGUs -PHP 233,500.00
Others (NGOs/Pos) -PHP 75,160.00","NDCC
RDCC
OCD Regional
PCG in Currimao, Ilocos Norte
Philippine Army
501B 5th Infatry Division 
505th SAR Squadron Philippine Air Force
Philippine National Police
Naval Forces North",,,747,850 sacks of rice,,,,,,,,,,,,2005-09-21,2005-09-23
431,Tropical Cyclone,Tropical Depression Quedan,"December 16 - 18, 2005",,,CARAGA,,gale warnings,,644,26,6,16,99818,478983,,,240,1280,243206249,1618740843,,,,damaged,,,breached,,"
NDCC -PHP1,368,000.00
DOH -PHP 1,934,715.40
DSWD - PHP 2,030,140.50
DA -PHP 7,653,600.00
LGUs - PHP 1,313,371.50
NGOs -PHP 1,978,349.80
PNRC -PHP 100,000.00","NDCC
RDCC
LDCC
DOTC",,,1368000,1520,,,,,1934715.4,,,,,,,2005-12-16,2005-12-18
432,Tropical Cyclone,Tropical Depression Ineng,"July 30 - 31, 2003",11.6 N,127.7 N,Regions V; X,"Flashflood: [Guinsiliban and Sagay, Camiguin], Landslide (Wet): [Guinsiliban, Camiguin]",Warning Order No. 4 in Region VI,2,9,0,0,0,1024,3150,,,20,9,,,,,,,,"back to normal, no damaged lifleline",,11537,0,,,,,,,,,,,,,,,,,2003-07-30,2003-07-31
433,Tropical Cyclone,Onyok,"September 2-3, 2003",21.5 N,119.6 E,NCR; III,,,7,42,,,,6531,34247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-02,2003-09-03
434,Tropical Cyclone,Tropical Depression Ursula,"October 21-24, 2003",,,Region VI,"Flashflood: [Ilog, Negros Occidental; Sipalay, Negros Occidental]",Warning Order No. 2 in Region VI,,42,1,,,12288,64291,,,28,19,27.2,66.3,,,,,,,,,,"P301,150.00","231 bags of rice, 73 boxes of sardines, 105 boxes of noodles",,,,,,,,,,,,,,,2003-10-21,2003-10-24
435,Tropical Cyclone,"Yoyoy (""Lupit)","November 27-30, 2003",22.1 N,132.8 E,"Virac, Catanduanes; Tuguegarao, Cagayan",,Warning Order No. 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-27,2003-11-30
436,Tropical Cyclone,Viring (Melor),"November 2-3, 2003",22.3 N,121.5 E,Region I; II; III; CAR,Flood (General),"Flood Advisory No. 3 in Region 2, PSWS No. 1,2,3",,,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-02,2003-11-03
437,Tropical Cyclone,Tropical Depression Zigzag,"Dec 25-28, 2003",13.7 N,129.1 E,Region V; VIII,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-12-25,2003-12-28
438,Tropical Cyclone,Unding,"Nov 14-21,2004",,,Region III; IV; V,,,,1180,71,160,69,144553,759045,1209,15076,36011,91803,358156000,,,,,,,,,,,"This support was for the devastation brough about by the four (Unding, Violeta, Unding, Yoyong: Philippine Mining Safety and Environmental Association (PMSEA),CIIF Group of Companies
Corporate Network for Disaster Response (CNDR)
JICA
GMA Kapuso Foundation
ABS CBN Foundation
Federation of Chinese Chamber of Commerce
Philippine National Bank
Nestle Philippines
Asia Brewery Incorporated
Philippines Charity Sweeptakes
Lucio Tan Group of Companies
Cathay Pacific
Aboitiz Grroup of Companies
LAFARGE Group of Companies
DOLE Filipino Packaging and Logistics
Kimberly Clark Philippines
MEGA Fishing Corp
Rotary Club of Las Pinas
JAKA Equipment Corp
UNILAB
Ramon Aboitiz Foundation
Fedex
Girl Scout of the Philippines
Phil Am Foundation
PMA Class 72
World City College, Quezon City
Centro Escolar University
Southern Luzon Bus Operators Association
Camp Aguinaldo Golf Club
Neo Filipino Association
AFPSLAI
PNRC
DOH
NTC
","This support was for the devastation brough about by the four (Unding, Violeta, Unding, Yoyong: US Military Forces
JICA
USAID-OFDA
WHO
UNDAC
OXFAM
UNICEF
Save the Children
Medicine Sans Frontier
Telecom Sans Frontier 
Groups de Socours Catastrophe Francais
World Vision
Spanish Agency for International Cooperation
Belgian Government
German Embassy Manila
Chinese Government
Singapore Government
Office of Middle East and African Affairs
Australian Embassy Manila
Government of People's Republic of China
Government of Cyprus
Embassy of Brunei, Darussalam
Embassy of France
Guam (Philippine Consulate, Korean Association, and various officials)
Republic of Korea
Dateline India Group
New York Life Insurance
Filipino Community in Japan
Abuja Nigeria
Mr. Seizen Uehara Okinawa Prefecture Japan
Governor Inamine Okinawa Prefecture
Philippines Consulate, General Toronto, Canada
Athens Greece
Circulo Ilongo, Toronto, Canada
Filipino Community in Beijing, China
","T79,321,117.78",,,,,,,,,,,,,,2004-11-14,2004-11-21
439,Tropical Cyclone,Violeta,"Nov 22-26,2004",,,Region III; IV; V,,,,83,31,187,17,21151,99461,552,2555,369,900,71635500,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-22,2004-11-26
440,Tropical Cyclone,Tropical Depression Winnie,"Nov 28-30, 2004",,,Region III; IV; V,,,,645,893,648,443,170036,845429,13375,65354,8889,12578,696905455,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-28,2004-11-30
441,Tropical Cyclone,Yoyong,"Nov 30-Dec 3,2004",,,Region III; IV; V,,,,3196,73,168,24,383575,1939835,38694,192424,11322,61972,625269955,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-30,2004-12-03
442,Tropical Cyclone,Typhoon Marce,2004-08-24 00:00:00,,,Region I; III; IV; CAR; NCR,Landslide (Wet),Issued flood advisories to affected regions to disseminate warning information for the safety of the public,143,2156,50,9,2,393970,1899931,9269,50101,69,2464,"147.488,000","P1,167,551,000",,,,"The local DPWHI reported that 21 major roads and 4 bridges incurred road cuts, major slides and eroded bridge approach (5 roads in Region I, 10 in CAR and 5 in Region II, 3 bridges in Region I and 1 in region III). They are still impassable up to this time because of on-going clearaning operations.",,,"The water elevation of dams particularly the Ambuklao, Binga and San Roque was closely monitored every 6 hours to determine the current water level. Authorities were forced to open the gates of the above dams seeing the water at its critical level.",,"P21.525M

(P17.203M)
NDCC - P2,186,360.00
DSWD - P1,830, 253.10
LGUs - P12,681,115.05
NGOs / Other GOs - P504,865.00","NDCC, DSWD, LGUs and NGOs",,,,,,,,,,,"Concerned and attached agencies conducted search and rescue operations in flooded areas in coordination with NDCC and concerned local DCCs. The NDCC, through local DCCs continues vigilant monitoring of this massive flooding and will relay any new developments to concerned agencies.",,,,,2004-08-24,2004-08-24
443,Fire (Industrial),"Ozone Disco House Fire Incident, Timog Avenue, Tomas Morato",1996-03-19 00:00:00,,,Quezon City,,,,,156,90,96,,342,,,,,,,,,,,,,,,"P400,000",7,,,,,,,,,,,,,,,,1996-03-19,1996-03-19
444,Fire (Industrial),"Lung Center of the Philippines Fire Incident, East Avenue",May-98,,,Quezon City,,,,,25,62,,,87,,,,,,,P1.7 Million,,,,,,,,"P230,000",5,,,,,,,,,,,,,,,,1998-05-08,1998-05-08
445,Water,"MV Carmela Vessel Fire Incident near Brgy Polo Grande, Pagbilao, Chica Island, ",2002-04-11 00:00:00,,,"Atimonan, Quezon",,,,,25,88,108,,388,,255,,,,,,,,,,,,,,,,,,,,,,,,,"Local fishermen in outrigger canoes, fishing vessels, private bancas and 3 speed boats wee immediately dispatched to the site. MV Sta Cruz was passing by chance rescued about 73 passengers. Navy vessels PG 141 and PS 19 and 2 MG helicopters From Southern Luzon Command were dispatched The MDCC of Pagbilao sent 1 patrol jeep and an ambulance at the shore to transport any victims. PAF Helicopter from the 505th Search and Rescue Group from Villamor Airbase were also dispatched.",,,,,2002-04-11,2002-04-11
446,Fire (Misc),Baseco Compound Brgy. 649 Fire Incident,2002-03-30 00:00:00,,,Manila,,,,1,2,8,4,3000,15000,3000,15000,,,1600,300,"P15,000,000",,,,,,,,,,,,,,,,,,,,,,,,,2002-03-30,2002-03-30
447,Fire (Misc),Baseco Compound Fire Incident,2003-03-06 00:00:00,,,Manila,,,,1,1,,,913,2700,913,2700,,,783,,,,,,,,,,,,,,285000,"4850 bags of relief goods worth P300, 500 packs pandesal, 2 boxes sardines, 2 boxes noodles, 2 packs biscuits, 80 sacks of rice",,"6 portalets, 6 bottles mineral water (10gallons/bottle),",,"2 sacks of used clothes,",,,Local firefighters from various cities and municipalites around Metro Manila were at the scene putting off the fire. Volunteer fire fighters were also there. 1 unit ambulance was on standby for possible medical assistance.,,,,,2003-03-06,2003-03-06
448,Fire (Misc),"Baseco Compound Blks 14, 15, 16, 17A Fire Incident",2004-01-11 00:00:00,,,Manila,,,,1,0,23,,3239,16195,2012,10060,,,2500,,"P40,000,000",,,,,,,,,27,,,"P134,000, P2000 worth of bread","15 boxes sardines, 10 boxes noodles, 101 sacks and 7 packs (5 kilos/pack) rice, 150 family packs, 5 boxes Nestle infant milk and 20 boxes Neslac powder milk, 2500 packs containing rice and assorted canned goods",,"4 trucks containing 4 drums of potable water, 1000 gallons, 1 tanker of water for washing",,"200 sleeping mats, 29 sacks and 8 boxes used clothing, 5 boxes assorted toys, 4 modular tents, 10 units tents, 100 pcs pails, 500 small tents, 200 pairs of slippers, 165 T-shirts",,,,,,,,2004-01-11,2004-01-11
453,Landslide (Dry),Taal Lakeshore Landslide,1754,,,"Taal, Batangas; Tanauan, Batangas; Lipa, Batangas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramos, E. (1986) Lakeshore Landslides: Unrecognized Hazards around Taal Volcano. Philippine Journal of Volcanology. 3 (1). 28-53.","Local villagers left their towns of Taal, Tanuan and Lipa 20 kms away from the lakeshore.",,,1754-01-01,1754-12-31
454,Rockfall (Dry),Avalanches of mud and boulder of rocks in Banahaw,1730,14°04'.0'N,121° 29.0'E,"Sariaya, Quezon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"del Mundo, E.T., Sabit, J., Campiti, N. (1997) Catalogue of Philippine Volcanoes Vol. 1: Active Volcano. Quezon CIty: DOST.",,,,1730-01-01,1730-12-31
455,Lanslide (Dry),large landslides in the hills caused by intensity 8 earthquake in Dipolog,"10:45 PM July 23, 1855",,,"Dipolog, Zamboanga del Norte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Epicentral parameters of major earthquakes 
1559-1983",The quake had its epicenter near the northwestern coast of Mindanao. Its seismic wave including the innumerable aftershocks are said to be from NW to SE (land-inward from seacoast). A source said that principla fissures had a SW-NE directin.,"Other areas that were affected due to the earthquake but did not experience landslide were Dapitan, Isabela (Island of Basilan), Cebu,  and Haya",,1855-07-23,1855-07-23
456,Lanslide (Dry),Landslide caused by an Intensity 9 earthquake,"11:35 AM January 31, 1917 ",,,"Glan, Saranggani ",,,,,7,2,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,"Epicentral parameters of major earthquakes 
1559-1983","The earthquake lasted for 18 minutes. The damage it caused to government buildings, property and supply was estimated at $4510.69",,,1917-01-31,1917-01-31
457,Tsunami,Tsunami in Northern Luzon Island due to magnitude 8 earthquake,"September 14, 1627",18.400,121.600,Cagayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bit.ly/2x4HzUE,"Tsunami magnitude of 2, tsunami intensity 3.5. Four runups",,,1627-09-14,1627-09-14
458,Tsunami,Tsunami in Mindoro Island due to magnitude 6.8 earthquake,"6:23 PM May 25, 1889 ",13.500,121.000,Occidental Mindoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bit.ly/2x4HzUE,,,,1889-05-25,1889-05-25
463,Tropical Cyclone,Tropical Depression Caloy,2002-03-20 00:00:00,,,Regions VI; VII; VIII; CARAGA,Rogue Wave ,,8,96,35,2,7,12679,54629,262,1310,262,1046,64538746,51008610,8400000,13,,,Voyages suspended by PCG,,NIA Dam overflowing in San Miguel Surigao del Sur,,,,,0,,50 sacks of rice; 7 cartons sardines; 7 carton noodles,,,,,,,,CY 2002 Destructive Tropical Cyclones. NDCC Report,,,,2002-03-20,2002-03-20
464,Tropical Cyclone,"Florita, Gloria, Inday, Hambalos","June 28-July 14, 2002",,,NCR; CAR; I; III; IV; VI; XI; XII,Severe Weather,State of Calamity- 4 provinces; 5 cities;15 municipalities,310,2356,61,41,5,483595,2278341,13216,61874,404,2059,176.849,344331000,710000,,,Minor slides along Tagudin-Cervantes Road; settlement of Middle pier of Mailpig Bridge along Batac-Pinili Road; collapsing of Mindoro West Coast Road and along Km 434+400-km 434-500 along Abra de Ilog),,,"Damaged dikes in Pampanga namely Bulac-Tail Dike in Minalin (200m breached); Sapang Maragulin in Gaugua (400 m breached); Sapang Bungag Guintu in San Lorenzo portion in Mexico (200 m heavily constricted, overflowing right dike breached); Inuming Baka Creek in Sta. Ana (100m breached) ",,,"ABS-CBN, LGUs of the 18 provinces affected from 8 regions",,3309128.3,5280000 worth of rice; 24683920.24 worth of assorted goods,6660 sacks,,,,,906263.2,,,CY 2002 Destructive Tropical Cyclones. NDCC Report,"Consolidated data on the effects of Typhoons Florita, Gloria, Inday, and tropical depression Hambalos",,,2002-06-28,2002-07-14
465,Tropical Cyclone,Tropical Depression Milenyo,2002-08-30 00:00:00,,,Regions III; IV; V; VI; VII; VIII; NCR; X; CARAGA,,,15,250,35,22,21,38634,194451,2180,10998,208,652,87.918,83.03,0.631,,,"Rizal- Mapada Bridge in Jala Jala Colapsed; Dantay-Pinugay and feeder road in Tanay heavily damaged; Paso bridge in Angono suffered minor damage.
Biliran- Naval-Biliran road damaged due to landslide; Naval-Almeria-Kawayan road damaged due to landslide at km 1029+500
Leyte- Ormoc-Baybay-Maasin road landslide; Calubian-San Isidro-Tabango road cut off at km 1009+450
Samar- Calbayog diversion road surfacing materials are eroded.
",,,,,1096091,5203036,,,520303,50 packs noodles; 50 bags rice,,,79400,,,,,CY 2002 Destructive Tropical Cyclones. NDCC Report,,DPWH conducted emergency repair works utilizing available local resources,,2002-08-30,2002-08-30
466,Tropical Cyclone,Dodong & Chedeng,"August 5-10, 2007",,,Regions I; III; IV; NCR; CAR,"Landslide (Wet), Flood (General), Tornado, Water",,113,977,15,10,1,249038,1198398,10103,44832,89,130,144388000,350848815.81,,,,,,,,,,,,,,,,,,,,,,NDCC. 2007. Destructive Tropical Cyclones.,,,,2007-08-05,2007-08-10
467,Tropical Cyclone,EGAY,"August 13-18, 2007",,,Regions I; II; III; IV-A; IV-B; V; NCR; CAR,"Flood (General), Landslide (Wet)",State of Calamity in Pateros,65,559,5,1,0,148700,716486,61284,294924,43,56,51203500,18564433,,,,Roads are affected by landslides in IV-A,,,,,,NDCC; DSWD; DOH; LGUs,,5000172.68,,450 sacks of rice,,,,,,,,NDCC. 2007. Destructive Tropical Cyclones.,,,,2007-08-13,2007-08-18
468,Tropical Cyclone,Hanna,2007-09-27 00:00:00,,,CAR; V; VI; X; XI; NCR,"Landslide (Wet), Rouge Wave, Flood (General)",NDCC-OPCEN,,95,14,5,,5007,18223,0,0,140,885,32116000,525000,,,,,,,,,,,,650420,,,,,,,,,,NDCC. 2007. Destructive Tropical Cyclones.,,,,2007-09-27,2007-09-27
469,Tropical Cyclone,Ineng,"October 1-7, 2007",,,Regions III; IV-A; IV-B; X; XI,Storm Surge,,2,,1,1,14,3750,20252,210,1050,477,1917,,,451000,,,,,,,,1372574,,,,,,,,,,,,,NDCC. 2007. Destructive Tropical Cyclones.,,,,2007-10-01,2007-10-07
473,Lahar ,Mun. Cagsawa Mayon Lahar,1825,13° 9′ 58″,123° 42′ 4″,"Daragan, Albay",,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paguican et al (2009). Extreme rainfall-induced lahars and dike breaching, 30 November 2006, Mayon Volcano, Philippines.Bulletin of Volcanology 71(8):845-857",,,,1825-01-01,1825-12-31
474,Lahar,Mayon Lahar,"July 20, 1766",13.257,123.685,Albay,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Volcanoes of the World, Second Edition, A Regional Directory, Gazetteer, and Chronology of Volcanism During the Last 10,000 Years, Geoscience Press, Inc., Tucson, Arizona, in association with Smithsonian Institution, Global Volcanism Program, Washington, D.C., p. 164-176.
2. Eruptive history of Mayon volcano, Philippines. Philippine Journal of Volcanology, vol. 2, nos. 1 and 2, p. 1-35.",,,12345.0,1766-07-20,1766-07-20
475,Lahar,Camiguin Lahar,1954,9.203,124.673,Camiguin,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Volcanoes of the World, Second Edition, A Regional Directory, Gazetteer, and Chronology of Volcanism During the Last 10,000 Years, Geoscience Press, Inc., Tucson, Arizona, in association with Smithsonian Institution, Global Volcanism Program, Washington, D.C., p. 164-176.
2. Fatalities & Evacuations, Volcanoes of the World, Third Edition, Geoscience Press, Inc., University of California Press, Smithsonian Institution, Washington, D.C., p. 329-347.",,,,1954-01-01,1954-12-31
476,Lahar,Mayon Lahar,1875,13.257,123.685,Albay,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fatalities & Evacuations, Volcanoes of the World, Third Edition, Geoscience Press, Inc., University of California Press, Smithsonian Institution, Washington, D.C., p. 329-347.",,,,1875-01-01,1875-12-31
477,Lahar,Mayon Lahar,1968,13.257,123.685,Albay,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Volcanoes of the World, Second Edition, A Regional Directory, Gazetteer, and Chronology of Volcanism During the Last 10,000 Years, Geoscience Press, Inc., Tucson, Arizona, in association with Smithsonian Institution, Global Volcanism Program, Washington, D.C., p. 164-176.",,,,1968-01-01,1968-12-31
479,Fire (Misc),"Fire Incident at Baseco Compound, North Harbor, Bagong Lupa, Tondo, Manila",2002-03-30 09:30:00,,,"Tondo, Manila",,,15,1,,,4,3000,15000,1288,,,,,,15 Million,"2:30 pm April 1, 2002 no electricity from Blk 9-Blk 13",,,,,,,,"Manila Social Welfare, Manila Health Office, DSWD-NCR, PPA, PNRC, MWSI, DOH National, V.Luna Memorial Center, Fort Bonifacio Hospital, AFRESCOM, 51st Engineering Brigade, Hon. Anthony Abad of NFA, G4 AFP-GHQ, DSWD-MANILA, Sisters of Charities, Phil. Port Authority, Office of the Mayor, OCD-NCR, ABSCBN, Kababaihan ng Maynila,  Philippine Port Authority",Lucent Hope Worldwide,500 pcs of t-shirt,,"Manila Social Welfare - 100 cavans of rice, Manila Health Office - 6 portalets , DSWD-NCR -  600 relief goods, 10 boxes of noodles, 5 boxes of sardines, 1000 packs of assorted food stuff, PPA - 500 boxes of assorted food stuff, 3000 bags of relief goods, 3000 bags of relief goods, PNRC - 1500 packs of assorted food stuff, AFRESCOM - 2 tents, 51st Engineering Brigade - 2 Generator Sets, Hon. Anthony Abad of NFA - 160 sacks of rice, DSWD - 1 generator set, G4 AFP-GHQ - 4 tents, DSWD-MANILA - 200 sakcs of rice, Sisters of Charities, Office of the Mayor - 4 portable toilets, OCD-NCR, ABSCBN 2200 packs of biscuits, Kababaihan ng Maynila - 11 sacks of rice, 10 dozens of plastic cups, 1152 cups of instant meal (lugaw)",,10000 gallons,," 784 blankets, 40 sacks of clothing, DSWD-NCR - clothing",,"8 doctors, 7 nurses, 1 aide-man, 2 ambulance driver",,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,Most of the houses involved are residential anf made out of light materials.,"Number of Evacuation Centers and Evacuated families from Updated Report dated April 18, 2002",12345.0,2002-03-30,2002-03-30
480,Flood (General)," Flooding, Big Waves, and Landslide Which Occurred in Mindanao",2002-01-02 00:00:00,,,CARAGA; XI; IX,"Rogue Wave, Landslide (Wet)",,48,939,22,27,7,224376,1005579,10192,52578,944,4950,"Php 240,327 M",Php 432.266 M,"Php 51,217 M",,,"15 bridges and 15 road networks were damged in the following provinces: Davao City, Compostela Valley, Davao Oriental, Davao Del Sur, Davao Del Norte, Surigao Del Sur, and Agusan Del Norte",,,,,"Php 2, 000, 0000.00 released to Presidential Assistant for Mindanao Jesus Dureza","DWSD, PSWDO, PNRC, DOH, NDCC, NGOs not specified",,298814 from NGOs,,"200 sacks of rice (Surigao del Sur), 100 sacks of rice (Agusan del Norte), 100 sacks of rice (Agusan del Sur), groceries from RDCCXI, 100 sacks of rice Davao del Norte",,,,,"Agusan del Sur Medicine - Php 96 196.58, Davao del Norte - Php 131,000",,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,"Breakdown of assorted relief goods worth : DSWD Php 700, 986.71, LGUs Php 7,882,146.35, NGOs Php 298, 814.00",,12345.0,2002-01-02,2002-01-02
481,Armed Conflict,Armed Conflict Incidents in Maguindanao Province,"February 27, 2002 10:15AM and 11:30AM",,,Maguindanao,,,,3,,3,,2035,12095,,,,,,,,,,,,,,,,"5 (Speaker Umbrah Datumanong, Pua Mangudadatu, Sec DENR, Sec DOST, Sec DSWD)",,,,500 bags of rice,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,"Breakdown of Financial Assitance: Speaker Umbrah Datumanong - Php 100, 000. Assemblyman Pua Mangudadatu Php 50,000. Secretary of DENR Php 25,000. Secretary of DSWD Php 50,000. Secretary of DOST Php 25,000.",,,2002-02-27,2002-02-27
482,Poisoning,"Gas Poisoning in 206 Cactus St. Lower Gulod Brgy. Sauyo, Quezon City",2003-03-19 13:54:00,,,Quezon City,,,,1,,13 brought to Quezon City General Hospital,,,"100, 13 brought to Quezon City General Hospital",,,,,,,,,,,,,,,,"QC Barangay Operation Center, QC Rescue, DILG, PNP, Barangay Officials of Sauyo",,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,Acetylene gas tank with leakage from the residential house of Mr. Elvis Esmeraldo,,,2003-03-19,2003-03-19
483,Industrial Accident (General),Luzon Wide Power Blackout,2002-05-21 00:00:00,,,Luzon,,,,,,,,,,,,,,,,,"Blackout due to power tripping of the Binan-Sta.Rosa Sub Station in Laguna, restoration was estimated to be within 3-5 hours",,,,,,,,,,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,,,,2002-05-21,2002-05-21
484,Thunderstorm,Lightning Incident in Libacao Aklan,2002-05-29 14:30:00,,,"Brgy.Pampango, Libacao, Aklan",,,,1,6,6,,,,,,,,,,,,,,,,,,,PDCC Aklan,,,,,,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,"Heavy rains during the incident prompted the victims to seek cover in a sari-sari store. However, a thunderstorn and lightning followed short after which caused the incident.",,,2002-05-29,2002-05-29
485,Fire (Misc),"Fire Incident at zone 1, 2, 3 Brgy. Kampurhan Isabela, City, Basilan","May 29, 2002 12:00MN",,,"Brgy. Kampurhan, Isabela City, Basilan",,State of Calamity,6,1,,1,,517,2500,,,800,,,,,,,,,,,,,"Maluso, Lamitan, and Fil-Chinese Fire Brigade assisted Isabela City Fire Station, City Social Welfare Office, NDCC, 103rd Brigade, Mayor of City of Isabela, City Health Office, AFP, Balikan, CSWDO",,,,"50 sacks of rice, 20 sacks of sugar, 12 boxes of noodles, 12 boxes of sardines, 12 boxes of coffee",,,,,,,,CY 2002 Natural and Made Incidents. OCD NDCC Reports.,,,,2002-05-29,2002-05-29
